+0000.4696373474723390,+0000.5109585774473517,+0000.0161133304360855,+0000.0032907446442236
+0000.4594894289164256,+0000.5207589988197041,+0000.0163129680940421,+0000.0034386041698281
+0000.4493592169834592,+0000.5305434482152283,+0000.0165066981496368,+0000.0035906366516755
+0000.4392509152200721,+0000.5403078782468015,+0000.0166943392999519,+0000.0037468672331743
+0000.4291687161891146,+0000.5500482507364655,+0000.0168757148214738,+0000.0039073182529460
+0000.4191167996847823,+0000.5597605384036662,+0000.0170506527293724,+0000.0040720091821789
+0000.4090993309537716,+0000.5694407265483591,+0000.0172189859340021,+0000.0042409565638671
+0000.3991204589232342,+0000.5790848147282619,+0000.0173805523945106,+0000.0044141739539932
+0000.3891843144362970,+0000.5886888184295437,+0000.0175351952694457,+0000.0045916718647135
+0000.3792950084959112,+0000.5982487707302379,+0000.0176827630642478,+0000.0047734577096030
+0000.3694566305177899,+0000.6077607239556735,+0000.0178231097755208,+0000.0049595357510156
+0000.3596732465931886,+0000.6172207513252204,+0000.0179560950319760,+0000.0051499070496149
+0000.3499488977622814,+0000.6266249485896496,+0000.0180815842319415,+0000.0053445694161274
+0000.3402875982988770,+0000.6359694356584128,+0000.0181994486773377,+0000.0055435173653722
+0000.3306933340072158,+0000.6452503582161518,+0000.0183095657040165,+0000.0057467420726156
+0000.3211700605315833,+0000.6544638893277501,+0000.0184118188083653,+0000.0059542313323010
+0000.3117217016794696,+0000.6636062310312479,+0000.0185060977700810,+0000.0061659695192012
+0000.3023521477589976,+0000.6726736159179444,+0000.0185922987710183,+0000.0063819375520395
+0000.2930652539313370,+0000.6816623086990176,+0000.0186703245100219,+0000.0066021128596234
+0000.2838648385788137,+0000.6905686077579996,+0000.0187400843136513,+0000.0068264693495353
+0000.2747546816894184,+0000.6993888466884490,+0000.0188014942427129,+0000.0070549773794196
+0000.2657385232584086,+0000.7081193958161703,+0000.0188544771945133,+0000.0072876037309076
+0000.2568200617076930,+0000.7167566637053366,+0000.0188989630007529,+0000.0075243115862174
+0000.2480029523236771,+0000.7252970986478797,+0000.0189348885209787,+0000.0077650605074644
+0000.2392908057142422,+0000.7337371901355179,+0000.0189621977315212,+0000.0080098064187187
+0000.2306871862855197,+0000.7420734703138002,+0000.0189808418098395,+0000.0082585015908405
+0000.2221956107391163,+0000.7503025154175547,+0000.0189907792142040,+0000.0085110946291249
+0000.2138195465904335,+0000.7584209471871332,+0000.0189919757586479,+0000.0087675304637853
